Done,Category,Item,What it's for,Keys / output,Cost,Est. monthly cost,Usage,Notes
,1. Accounts,Vercel,Hosts the website,(the deployment itself),Free or ~$20/mo,$0 (Hobby),"1 site, hobby-level traffic","Client's account, or invite the developer; ~$20/mo Pro only if scaling"
,1. Accounts,Firebase (Google),"Admin sign-in, viewer accounts, content",7x NEXT_PUBLIC_FIREBASE_* + 3x FIREBASE_ADMIN_*,Free (Spark plan),$0 ,"Auth + Firestore, well under free limits",Create a project
,1. Accounts,Cloudflare,"Live video, recordings, chat, guests",ACCOUNT_ID; STREAM_API_TOKEN; LIVE_INPUT_UID (x2); CF_STREAM_CUSTOMER_CODE; REALTIME_APP_ID+TOKEN; CHAT_WS_URL; CHAT_ADMIN_SECRET,~$5/mo + usage,~$25-30/mo,"~50 viewers x 4 shows/mo (2h) = ~24k delivered min + recordings; $5 per 1k min stored, $1 per 1k min delivered",Subscribe to Stream; the only real usage-based cost
,1. Accounts,Google Cloud - YouTube Data API v3,Pulls videos + live status,YOUTUBE_API_KEY,Free,$0 ,<10k quota units/day,Tied to the client's channel
,1. Accounts,Stripe,Tips / payments,STRIPE_SECRET_KEY; NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY; STRIPE_WEBHOOK_SECRET,~2.9% + 30c per tip,$0 fixed,Per tip; scales with tip volume,Enable Cash App Pay + Apple/Google Pay in dashboard
,1. Accounts,Resend (optional),Contact-form email,RESEND_API_KEY; CONTACT_TO_EMAIL,Free tier,$0 ,<3k emails/mo (free tier),Only if using the contact form
,1. Accounts,Domain registrar,Point the domain DNS at Vercel,-,~$10-15/yr,~$1/mo,1 domain,e.g. southcoastcane.com
,1. Accounts,GitHub,Code repo (deploys from here),-,Free,$0 ,1 repo,Can stay under the developer
,1. Accounts,Fly.io,"Simulcast relay: forwards the browser broadcast to YouTube/Facebook/Twitch (Cloudflare can't forward the studio's WebRTC feed)",RELAY_URL; RELAY_SECRET,~$0 idle + cents/hr live,~$1-3/mo,Scales to zero; only runs during broadcasts,"Needs a credit card on file. Deploy the relay/ folder (see relay/README.md). Replaces StreamYard's paid simulcast"
,2. Deploy & connect,Add all env vars to Vercel,Wire up every account above,-,-,-,-,Redeploy after adding
,2. Deploy & connect,FIREBASE_ADMIN_PRIVATE_KEY format,Paste WITHOUT surrounding quotes; keep the \n,-,-,-,-,Quotes break it (common gotcha)
,2. Deploy & connect,Enable Firebase Auth providers,Google + Email/Password,-,-,-,-,Authentication > Sign-in method
,2. Deploy & connect,Add Vercel domain to Authorized domains,So Google sign-in works,-,-,-,-,Firebase > Auth > Settings
,2. Deploy & connect,Create client admin login,Firebase Auth user with client's email,-,-,-,-,Also set NEXT_PUBLIC_ADMIN_EMAILS to it
,2. Deploy & connect,Set up Stripe webhook,checkout.session.completed -> /api/tips/webhook,STRIPE_WEBHOOK_SECRET,-,-,-,Copy the signing secret
,2. Deploy & connect,Deploy the chat Worker,If using a new Cloudflare account,-,-,$0 ,Free tier (Workers + Durable Objects),wrangler deploy + set CHAT_ADMIN_SECRET
,2. Deploy & connect,Deploy the simulcast relay (Fly.io),So browser Go Live reaches YouTube,RELAY_SECRET (on Fly),-,-,-,"In relay/: flyctl auth login; flyctl launch --copy-config --now; flyctl secrets set RELAY_SECRET"
,2. Deploy & connect,Add RELAY_URL + RELAY_SECRET to Vercel,Connect the site to the relay,RELAY_URL; RELAY_SECRET,-,-,-,Same RELAY_SECRET on Fly and Vercel; redeploy after
,2. Deploy & connect,Point domain DNS at Vercel,Custom domain live,-,-,-,-,Add domain in Vercel + registrar DNS
,2. Deploy & connect,Cloudflare token: add Account Analytics Read,So the Costs page shows delivery minutes/cost,-,-,-,-,Otherwise delivery shows a dash; storage still tracks
,3. Verify,Settings page all green,"Firebase, YouTube, Stream, Chat, Stripe",-,-,-,-,Admin > Settings (live status)
,3. Verify,Test Go Live + simulcast,Browser broadcast to site + YouTube,-,-,-,-,
,3. Verify,Test guest join,Invite link on a 2nd device,-,-,-,-,Admit from Guests tab
,3. Verify,Test screen share,Full / PIP / Split,-,-,-,-,
,3. Verify,Test a tip,Stripe test card 4242 4242 4242 4242,-,-,-,-,On-air alert + chat highlight fire
,3. Verify,Test chat sign-in + moderation,Google + email; timeout / ban / suspend,-,-,-,-,
,4. Handoff,Switch all keys from developer to client,Move off the dev's test accounts,-,-,-,-,See notes; then redeploy
,4. Handoff,Send client the handoff document,CLIENT_HANDOFF.md,-,-,-,-,Fill in real domain + login first
,Summary,Estimated monthly total,Typical small-creator scale,-,-,~$28/mo + Stripe fees,"~50 viewers, 4 shows/mo (2h); scales with audience",Cloudflare Stream is the only usage-based driver - see the admin Costs page for a live estimate
